Rank,URL,Linking Root Domains,External Links,mozRank,mozTrust
1,facebook.com/,14423576,6816323341,9.73,9.43
2,twitter.com/,10210285,9134092515,10,9.37
3,google.com/,8439294,5027953368,9.46,9.33
4,youtube.com/,5314649,2717094242,9.28,9.13
5,linkedin.com/,3595081,1419249303,9.1,8.98
6,wordpress.org/,3523683,322358778,9.09,8.79
7,instagram.com/,3522460,2256431293,9.4,9.09
8,pinterest.com/,2244770,1375858651,8.87,8.67
9,wikipedia.org/,1971075,577858242,8.74,8.65
10,wordpress.com/,1634945,405369078,8.68,8.61
11,blogspot.com/,1464133,1147314311,8.49,8.46
12,adobe.com/,1384787,186974571,8.92,9.07
13,apple.com/,1357786,480953069,9,9.03
14,tumblr.com/,1119626,1386079147,8.51,8.36
15,youtu.be/,1051329,98697013,8.58,8.58
16,amazon.com/,1048253,343131743,8.49,8.51
17,goo.gl/,975147,290348143,8.61,8.46
18,vimeo.com/,974455,124423257,8.55,8.5
19,microsoft.com/,862265,339409645,8.87,8.76
20,flickr.com/,829480,420034824,8.41,8.56
